window_end_date,disease,province,split,forecast_start,forecast_end
1925-08-23,influenza,CA-ON,train,1925-08-30,1925-10-18
1925-08-30,influenza,CA-ON,train,1925-09-06,1925-10-25
1925-09-06,influenza,CA-ON,train,1925-09-13,1925-11-01
1925-09-13,influenza,CA-ON,train,1925-09-20,1925-11-08
1925-09-20,influenza,CA-ON,train,1925-09-27,1925-11-15
1925-09-27,influenza,CA-ON,train,1925-10-04,1925-11-22
1925-10-04,influenza,CA-ON,train,1925-10-11,1925-11-29
1925-10-11,influenza,CA-ON,train,1925-10-18,1925-12-06
1925-10-18,influenza,CA-ON,train,1925-10-25,1925-12-13
1925-10-25,influenza,CA-ON,train,1925-11-01,1925-12-20
1925-11-01,influenza,CA-ON,train,1925-11-08,1925-12-27
1925-11-08,influenza,CA-ON,train,1925-11-15,1926-01-03
1925-11-15,influenza,CA-ON,train,1925-11-22,1926-01-10
1925-11-22,influenza,CA-ON,train,1925-11-29,1926-01-17
1925-11-29,influenza,CA-ON,train,1925-12-06,1926-01-24
1925-12-06,influenza,CA-ON,train,1925-12-13,1926-01-31
1925-12-13,influenza,CA-ON,train,1925-12-20,1926-02-07
1925-12-20,influenza,CA-ON,train,1925-12-27,1926-02-14
1925-12-27,influenza,CA-ON,train,1926-01-03,1926-02-21
1926-01-03,influenza,CA-ON,train,1926-01-10,1926-02-28
1926-01-10,influenza,CA-ON,train,1926-01-17,1926-03-07
1926-01-17,influenza,CA-ON,train,1926-01-24,1926-03-14
1926-01-24,influenza,CA-ON,train,1926-01-31,1926-03-21
1926-01-31,influenza,CA-ON,train,1926-02-07,1926-03-28
1926-02-07,influenza,CA-ON,train,1926-02-14,1926-04-04
1926-02-14,influenza,CA-ON,train,1926-02-21,1926-04-11
1926-02-21,influenza,CA-ON,train,1926-02-28,1926-04-18
1926-02-28,influenza,CA-ON,train,1926-03-07,1926-04-25
1926-03-07,influenza,CA-ON,train,1926-03-14,1926-05-02
1926-03-14,influenza,CA-ON,train,1926-03-21,1926-05-09
1926-03-21,influenza,CA-ON,train,1926-03-28,1926-05-16
1926-03-28,influenza,CA-ON,train,1926-04-04,1926-05-23
1926-04-04,influenza,CA-ON,train,1926-04-11,1926-05-30
1926-04-11,influenza,CA-ON,train,1926-04-18,1926-06-06
1926-04-18,influenza,CA-ON,train,1926-04-25,1926-06-13
1926-04-25,influenza,CA-ON,train,1926-05-02,1926-06-20
1926-05-02,influenza,CA-ON,train,1926-05-09,1926-06-27
1926-05-09,influenza,CA-ON,train,1926-05-16,1926-07-04
1926-05-16,influenza,CA-ON,train,1926-05-23,1926-07-11
1926-05-23,influenza,CA-ON,train,1926-05-30,1926-07-18
1926-05-30,influenza,CA-ON,train,1926-06-06,1926-07-25
1926-06-06,influenza,CA-ON,train,1926-06-13,1926-08-01
1926-06-13,influenza,CA-ON,train,1926-06-20,1926-08-08
1926-06-20,influenza,CA-ON,train,1926-06-27,1926-08-15
1926-06-27,influenza,CA-ON,train,1926-07-04,1926-08-22
1926-07-04,influenza,CA-ON,train,1926-07-11,1926-08-29
1926-07-11,influenza,CA-ON,train,1926-07-18,1926-09-05
1926-07-18,influenza,CA-ON,train,1926-07-25,1926-09-12
1926-07-25,influenza,CA-ON,train,1926-08-01,1926-09-19
1926-08-01,influenza,CA-ON,train,1926-08-08,1926-09-26
1926-08-08,influenza,CA-ON,train,1926-08-15,1926-10-03
1926-08-15,influenza,CA-ON,train,1926-08-22,1926-10-10
1926-08-22,influenza,CA-ON,train,1926-08-29,1926-10-17
1926-08-29,influenza,CA-ON,train,1926-09-05,1926-10-24
1926-09-05,influenza,CA-ON,train,1926-09-12,1926-10-31
1926-09-12,influenza,CA-ON,train,1926-09-19,1926-11-07
1926-09-19,influenza,CA-ON,train,1926-09-26,1926-11-14
1926-09-26,influenza,CA-ON,train,1926-10-03,1926-11-21
1926-10-03,influenza,CA-ON,train,1926-10-10,1926-11-28
1926-10-10,influenza,CA-ON,train,1926-10-17,1926-12-05
1926-10-17,influenza,CA-ON,train,1926-10-24,1926-12-12
1926-10-24,influenza,CA-ON,train,1926-10-31,1926-12-19
1926-10-31,influenza,CA-ON,train,1926-11-07,1926-12-26
1926-11-07,influenza,CA-ON,train,1926-11-14,1927-01-02
1926-11-14,influenza,CA-ON,train,1926-11-21,1927-01-09
1926-11-21,influenza,CA-ON,train,1926-11-28,1927-01-16
1926-11-28,influenza,CA-ON,train,1926-12-05,1927-01-23
1926-12-05,influenza,CA-ON,train,1926-12-12,1927-01-30
1926-12-12,influenza,CA-ON,train,1926-12-19,1927-02-06
1926-12-19,influenza,CA-ON,train,1926-12-26,1927-02-13
1926-12-26,influenza,CA-ON,train,1927-01-02,1927-02-20
1927-01-02,influenza,CA-ON,train,1927-01-09,1927-02-27
1927-01-09,influenza,CA-ON,train,1927-01-16,1927-03-06
1927-01-16,influenza,CA-ON,train,1927-01-23,1927-03-13
1927-01-23,influenza,CA-ON,train,1927-01-30,1927-03-20
1927-01-30,influenza,CA-ON,train,1927-02-06,1927-03-27
1927-02-06,influenza,CA-ON,train,1927-02-13,1927-04-03
1927-02-13,influenza,CA-ON,train,1927-02-20,1927-04-10
1927-02-20,influenza,CA-ON,train,1927-02-27,1927-04-17
1927-02-27,influenza,CA-ON,train,1927-03-06,1927-04-24
1927-03-06,influenza,CA-ON,train,1927-03-13,1927-05-01
1927-03-13,influenza,CA-ON,train,1927-03-20,1927-05-08
1927-03-20,influenza,CA-ON,train,1927-03-27,1927-05-15
1927-03-27,influenza,CA-ON,train,1927-04-03,1927-05-22
1927-04-03,influenza,CA-ON,train,1927-04-10,1927-05-29
1927-04-10,influenza,CA-ON,train,1927-04-17,1927-06-05
1927-04-17,influenza,CA-ON,train,1927-04-24,1927-06-12
1927-04-24,influenza,CA-ON,train,1927-05-01,1927-06-19
1927-05-01,influenza,CA-ON,train,1927-05-08,1927-06-26
1927-05-08,influenza,CA-ON,train,1927-05-15,1927-07-03
1927-05-15,influenza,CA-ON,train,1927-05-22,1927-07-10
1927-05-22,influenza,CA-ON,train,1927-05-29,1927-07-17
1927-05-29,influenza,CA-ON,train,1927-06-05,1927-07-24
1927-06-05,influenza,CA-ON,train,1927-06-12,1927-07-31
1927-06-12,influenza,CA-ON,train,1927-06-19,1927-08-07
1927-06-19,influenza,CA-ON,train,1927-06-26,1927-08-14
1927-06-26,influenza,CA-ON,train,1927-07-03,1927-08-21
1927-07-03,influenza,CA-ON,train,1927-07-10,1927-08-28
1927-07-10,influenza,CA-ON,train,1927-07-17,1927-09-04
1927-07-17,influenza,CA-ON,train,1927-07-24,1927-09-11
1927-07-24,influenza,CA-ON,train,1927-07-31,1927-09-18
1927-07-31,influenza,CA-ON,train,1927-08-07,1927-09-25
1927-08-07,influenza,CA-ON,train,1927-08-14,1927-10-02
1927-08-14,influenza,CA-ON,train,1927-08-21,1927-10-09
1927-08-21,influenza,CA-ON,train,1927-08-28,1927-10-16
1927-08-28,influenza,CA-ON,train,1927-09-04,1927-10-23
1927-09-04,influenza,CA-ON,train,1927-09-11,1927-10-30
1927-09-11,influenza,CA-ON,train,1927-09-18,1927-11-06
1927-09-18,influenza,CA-ON,train,1927-09-25,1927-11-13
1927-09-25,influenza,CA-ON,train,1927-10-02,1927-11-20
1927-10-02,influenza,CA-ON,train,1927-10-09,1927-11-27
1927-10-09,influenza,CA-ON,train,1927-10-16,1927-12-04
1927-10-16,influenza,CA-ON,train,1927-10-23,1927-12-11
1927-10-23,influenza,CA-ON,train,1927-10-30,1927-12-18
1927-10-30,influenza,CA-ON,train,1927-11-06,1927-12-25
1927-11-06,influenza,CA-ON,train,1927-11-13,1928-01-01
1927-11-13,influenza,CA-ON,train,1927-11-20,1928-01-08
1927-11-20,influenza,CA-ON,train,1927-11-27,1928-01-15
1927-11-27,influenza,CA-ON,train,1927-12-04,1928-01-22
1927-12-04,influenza,CA-ON,train,1927-12-11,1928-01-29
1927-12-11,influenza,CA-ON,train,1927-12-18,1928-02-05
1927-12-18,influenza,CA-ON,train,1927-12-25,1928-02-12
1927-12-25,influenza,CA-ON,train,1928-01-01,1928-02-19
1928-01-01,influenza,CA-ON,train,1928-01-08,1928-02-26
1928-01-08,influenza,CA-ON,train,1928-01-15,1928-03-04
1928-01-15,influenza,CA-ON,train,1928-01-22,1928-03-11
1928-01-22,influenza,CA-ON,train,1928-01-29,1928-03-18
1928-01-29,influenza,CA-ON,train,1928-02-05,1928-03-25
1928-02-05,influenza,CA-ON,train,1928-02-12,1928-04-01
1928-02-12,influenza,CA-ON,train,1928-02-19,1928-04-08
1928-02-19,influenza,CA-ON,train,1928-02-26,1928-04-15
1928-02-26,influenza,CA-ON,train,1928-03-04,1928-04-22
1928-03-04,influenza,CA-ON,train,1928-03-11,1928-04-29
1928-03-11,influenza,CA-ON,train,1928-03-18,1928-05-06
1928-03-18,influenza,CA-ON,train,1928-03-25,1928-05-13
1928-03-25,influenza,CA-ON,train,1928-04-01,1928-05-20
1928-04-01,influenza,CA-ON,train,1928-04-08,1928-05-27
1928-04-08,influenza,CA-ON,train,1928-04-15,1928-06-03
1928-04-15,influenza,CA-ON,train,1928-04-22,1928-06-10
1928-04-22,influenza,CA-ON,train,1928-04-29,1928-06-17
1928-04-29,influenza,CA-ON,train,1928-05-06,1928-06-24
1928-05-06,influenza,CA-ON,train,1928-05-13,1928-07-01
1928-05-13,influenza,CA-ON,train,1928-05-20,1928-07-08
1928-05-20,influenza,CA-ON,train,1928-05-27,1928-07-15
1928-05-27,influenza,CA-ON,train,1928-06-03,1928-07-22
1928-06-03,influenza,CA-ON,train,1928-06-10,1928-07-29
1928-06-10,influenza,CA-ON,train,1928-06-17,1928-08-05
1928-06-17,influenza,CA-ON,train,1928-06-24,1928-08-12
1928-06-24,influenza,CA-ON,train,1928-07-01,1928-08-19
1928-07-01,influenza,CA-ON,train,1928-07-08,1928-08-26
1928-07-08,influenza,CA-ON,train,1928-07-15,1928-09-02
1928-07-15,influenza,CA-ON,train,1928-07-22,1928-09-09
1928-07-22,influenza,CA-ON,train,1928-07-29,1928-09-16
1928-07-29,influenza,CA-ON,train,1928-08-05,1928-09-23
1928-08-05,influenza,CA-ON,train,1928-08-12,1928-09-30
1928-08-12,influenza,CA-ON,train,1928-08-19,1928-10-07
1928-08-19,influenza,CA-ON,train,1928-08-26,1928-10-14
1928-08-26,influenza,CA-ON,train,1928-09-02,1928-10-21
1928-09-02,influenza,CA-ON,train,1928-09-09,1928-10-28
1928-09-09,influenza,CA-ON,train,1928-09-16,1928-11-04
1928-09-16,influenza,CA-ON,train,1928-09-23,1928-11-11
1928-09-23,influenza,CA-ON,train,1928-09-30,1928-11-18
1928-09-30,influenza,CA-ON,train,1928-10-07,1928-11-25
1928-10-07,influenza,CA-ON,train,1928-10-14,1928-12-02
1928-10-14,influenza,CA-ON,train,1928-10-21,1928-12-09
1928-10-21,influenza,CA-ON,train,1928-10-28,1928-12-16
1928-10-28,influenza,CA-ON,train,1928-11-04,1928-12-23
1928-11-04,influenza,CA-ON,train,1928-11-11,1928-12-30
1928-11-11,influenza,CA-ON,train,1928-11-18,1929-01-06
1928-11-18,influenza,CA-ON,train,1928-11-25,1929-01-13
1928-11-25,influenza,CA-ON,train,1928-12-02,1929-01-20
1928-12-02,influenza,CA-ON,train,1928-12-09,1929-01-27
1928-12-09,influenza,CA-ON,train,1928-12-16,1929-02-03
1928-12-16,influenza,CA-ON,train,1928-12-23,1929-02-10
1928-12-23,influenza,CA-ON,train,1928-12-30,1929-02-17
1928-12-30,influenza,CA-ON,train,1929-01-06,1929-02-24
1929-01-06,influenza,CA-ON,train,1929-01-13,1929-03-03
1929-01-13,influenza,CA-ON,train,1929-01-20,1929-03-10
1929-01-20,influenza,CA-ON,train,1929-01-27,1929-03-17
1929-01-27,influenza,CA-ON,train,1929-02-03,1929-03-24
1929-02-03,influenza,CA-ON,train,1929-02-10,1929-03-31
1929-02-10,influenza,CA-ON,train,1929-02-17,1929-04-07
1929-02-17,influenza,CA-ON,train,1929-02-24,1929-04-14
1929-02-24,influenza,CA-ON,train,1929-03-03,1929-04-21
1929-03-03,influenza,CA-ON,train,1929-03-10,1929-04-28
1929-03-10,influenza,CA-ON,train,1929-03-17,1929-05-05
1929-03-17,influenza,CA-ON,train,1929-03-24,1929-05-12
1929-03-24,influenza,CA-ON,train,1929-03-31,1929-05-19
1929-03-31,influenza,CA-ON,train,1929-04-07,1929-05-26
1929-04-07,influenza,CA-ON,train,1929-04-14,1929-06-02
1929-04-14,influenza,CA-ON,train,1929-04-21,1929-06-09
1929-04-21,influenza,CA-ON,train,1929-04-28,1929-06-16
1929-04-28,influenza,CA-ON,train,1929-05-05,1929-06-23
1929-05-05,influenza,CA-ON,train,1929-05-12,1929-06-30
1929-05-12,influenza,CA-ON,train,1929-05-19,1929-07-07
1929-05-19,influenza,CA-ON,train,1929-05-26,1929-07-14
1929-05-26,influenza,CA-ON,train,1929-06-02,1929-07-21
1929-06-02,influenza,CA-ON,train,1929-06-09,1929-07-28
1929-06-09,influenza,CA-ON,train,1929-06-16,1929-08-04
1929-06-16,influenza,CA-ON,train,1929-06-23,1929-08-11
1929-06-23,influenza,CA-ON,train,1929-06-30,1929-08-18
1929-06-30,influenza,CA-ON,train,1929-07-07,1929-08-25
1929-07-07,influenza,CA-ON,train,1929-07-14,1929-09-01
1929-07-14,influenza,CA-ON,train,1929-07-21,1929-09-08
1929-07-21,influenza,CA-ON,train,1929-07-28,1929-09-15
1929-07-28,influenza,CA-ON,train,1929-08-04,1929-09-22
1929-08-04,influenza,CA-ON,train,1929-08-11,1929-09-29
1929-08-11,influenza,CA-ON,train,1929-08-18,1929-10-06
1929-08-18,influenza,CA-ON,train,1929-08-25,1929-10-13
1929-08-25,influenza,CA-ON,train,1929-09-01,1929-10-20
1929-09-01,influenza,CA-ON,train,1929-09-08,1929-10-27
1929-09-08,influenza,CA-ON,train,1929-09-15,1929-11-03
1929-09-15,influenza,CA-ON,train,1929-09-22,1929-11-10
1929-09-22,influenza,CA-ON,train,1929-09-29,1929-11-17
1929-09-29,influenza,CA-ON,train,1929-10-06,1929-11-24
1929-10-06,influenza,CA-ON,train,1929-10-13,1929-12-01
1929-10-13,influenza,CA-ON,train,1929-10-20,1929-12-08
1929-10-20,influenza,CA-ON,train,1929-10-27,1929-12-15
1929-10-27,influenza,CA-ON,train,1929-11-03,1929-12-22
1929-11-03,influenza,CA-ON,train,1929-11-10,1929-12-29
1929-11-10,influenza,CA-ON,train,1929-11-17,1930-01-05
1929-11-17,influenza,CA-ON,train,1929-11-24,1930-01-12
1929-11-24,influenza,CA-ON,train,1929-12-01,1930-01-19
1929-12-01,influenza,CA-ON,train,1929-12-08,1930-01-26
1929-12-08,influenza,CA-ON,train,1929-12-15,1930-02-02
1929-12-15,influenza,CA-ON,train,1929-12-22,1930-02-09
1929-12-22,influenza,CA-ON,train,1929-12-29,1930-02-16
1929-12-29,influenza,CA-ON,train,1930-01-05,1930-02-23
1930-01-05,influenza,CA-ON,train,1930-01-12,1930-03-02
1930-01-12,influenza,CA-ON,train,1930-01-19,1930-03-09
1930-01-19,influenza,CA-ON,train,1930-01-26,1930-03-16
1930-01-26,influenza,CA-ON,train,1930-02-02,1930-03-23
1930-02-02,influenza,CA-ON,train,1930-02-09,1930-03-30
1930-02-09,influenza,CA-ON,train,1930-02-16,1930-04-06
1930-02-16,influenza,CA-ON,train,1930-02-23,1930-04-13
1930-02-23,influenza,CA-ON,train,1930-03-02,1930-04-20
1930-03-02,influenza,CA-ON,train,1930-03-09,1930-04-27
1930-03-09,influenza,CA-ON,train,1930-03-16,1930-05-04
1930-03-16,influenza,CA-ON,train,1930-03-23,1930-05-11
1930-03-23,influenza,CA-ON,train,1930-03-30,1930-05-18
1930-03-30,influenza,CA-ON,train,1930-04-06,1930-05-25
1930-04-06,influenza,CA-ON,train,1930-04-13,1930-06-01
1930-04-13,influenza,CA-ON,train,1930-04-20,1930-06-08
1930-04-20,influenza,CA-ON,train,1930-04-27,1930-06-15
1930-04-27,influenza,CA-ON,train,1930-05-04,1930-06-22
1930-05-04,influenza,CA-ON,train,1930-05-11,1930-06-29
1930-05-11,influenza,CA-ON,train,1930-05-18,1930-07-06
1930-05-18,influenza,CA-ON,train,1930-05-25,1930-07-13
1930-05-25,influenza,CA-ON,train,1930-06-01,1930-07-20
1930-06-01,influenza,CA-ON,train,1930-06-08,1930-07-27
1930-06-08,influenza,CA-ON,train,1930-06-15,1930-08-03
1930-06-15,influenza,CA-ON,train,1930-06-22,1930-08-10
1930-06-22,influenza,CA-ON,train,1930-06-29,1930-08-17
1930-06-29,influenza,CA-ON,train,1930-07-06,1930-08-24
1930-07-06,influenza,CA-ON,train,1930-07-13,1930-08-31
1930-07-13,influenza,CA-ON,train,1930-07-20,1930-09-07
1930-07-20,influenza,CA-ON,train,1930-07-27,1930-09-14
1930-07-27,influenza,CA-ON,train,1930-08-03,1930-09-21
1930-08-03,influenza,CA-ON,train,1930-08-10,1930-09-28
1930-08-10,influenza,CA-ON,train,1930-08-17,1930-10-05
1930-08-17,influenza,CA-ON,train,1930-08-24,1930-10-12
1930-08-24,influenza,CA-ON,train,1930-08-31,1930-10-19
1930-08-31,influenza,CA-ON,train,1930-09-07,1930-10-26
1930-09-07,influenza,CA-ON,train,1930-09-14,1930-11-02
1930-09-14,influenza,CA-ON,train,1930-09-21,1930-11-09
1930-09-21,influenza,CA-ON,train,1930-09-28,1930-11-16
1930-09-28,influenza,CA-ON,train,1930-10-05,1930-11-23
1930-10-05,influenza,CA-ON,train,1930-10-12,1930-11-30
1930-10-12,influenza,CA-ON,train,1930-10-19,1930-12-07
1930-10-19,influenza,CA-ON,train,1930-10-26,1930-12-14
1930-10-26,influenza,CA-ON,train,1930-11-02,1930-12-21
1930-11-02,influenza,CA-ON,train,1930-11-09,1930-12-28
1930-11-09,influenza,CA-ON,train,1930-11-16,1931-01-04
1930-11-16,influenza,CA-ON,train,1930-11-23,1931-01-11
1930-11-23,influenza,CA-ON,train,1930-11-30,1931-01-18
1930-11-30,influenza,CA-ON,train,1930-12-07,1931-01-25
1930-12-07,influenza,CA-ON,train,1930-12-14,1931-02-01
1930-12-14,influenza,CA-ON,train,1930-12-21,1931-02-08
1930-12-21,influenza,CA-ON,train,1930-12-28,1931-02-15
1930-12-28,influenza,CA-ON,train,1931-01-04,1931-02-22
1931-01-04,influenza,CA-ON,train,1931-01-11,1931-03-01
1931-01-11,influenza,CA-ON,train,1931-01-18,1931-03-08
1931-01-18,influenza,CA-ON,train,1931-01-25,1931-03-15
1931-01-25,influenza,CA-ON,train,1931-02-01,1931-03-22
1931-02-01,influenza,CA-ON,train,1931-02-08,1931-03-29
1931-02-08,influenza,CA-ON,train,1931-02-15,1931-04-05
1931-02-15,influenza,CA-ON,train,1931-02-22,1931-04-12
1931-02-22,influenza,CA-ON,train,1931-03-01,1931-04-19
1931-03-01,influenza,CA-ON,train,1931-03-08,1931-04-26
1931-03-08,influenza,CA-ON,train,1931-03-15,1931-05-03
1931-03-15,influenza,CA-ON,train,1931-03-22,1931-05-10
1931-03-22,influenza,CA-ON,train,1931-03-29,1931-05-17
1931-03-29,influenza,CA-ON,train,1931-04-05,1931-05-24
1931-04-05,influenza,CA-ON,train,1931-04-12,1931-05-31
1931-04-12,influenza,CA-ON,train,1931-04-19,1931-06-07
1931-04-19,influenza,CA-ON,train,1931-04-26,1931-06-14
1931-04-26,influenza,CA-ON,train,1931-05-03,1931-06-21
1931-05-03,influenza,CA-ON,train,1931-05-10,1931-06-28
1931-05-10,influenza,CA-ON,train,1931-05-17,1931-07-05
1931-05-17,influenza,CA-ON,train,1931-05-24,1931-07-12
1931-05-24,influenza,CA-ON,train,1931-05-31,1931-07-19
1931-05-31,influenza,CA-ON,train,1931-06-07,1931-07-26
1931-06-07,influenza,CA-ON,train,1931-06-14,1931-08-02
1931-06-14,influenza,CA-ON,train,1931-06-21,1931-08-09
1931-06-21,influenza,CA-ON,train,1931-06-28,1931-08-16
1931-06-28,influenza,CA-ON,train,1931-07-05,1931-08-23
1931-07-05,influenza,CA-ON,train,1931-07-12,1931-08-30
1931-07-12,influenza,CA-ON,train,1931-07-19,1931-09-06
1931-07-19,influenza,CA-ON,train,1931-07-26,1931-09-13
1931-07-26,influenza,CA-ON,train,1931-08-02,1931-09-20
1931-08-02,influenza,CA-ON,train,1931-08-09,1931-09-27
1931-08-09,influenza,CA-ON,train,1931-08-16,1931-10-04
1931-08-16,influenza,CA-ON,train,1931-08-23,1931-10-11
1931-08-23,influenza,CA-ON,train,1931-08-30,1931-10-18
1931-08-30,influenza,CA-ON,train,1931-09-06,1931-10-25
1931-09-06,influenza,CA-ON,train,1931-09-13,1931-11-01
1931-09-13,influenza,CA-ON,train,1931-09-20,1931-11-08
1931-09-20,influenza,CA-ON,train,1931-09-27,1931-11-15
1931-09-27,influenza,CA-ON,train,1931-10-04,1931-11-22
1931-10-04,influenza,CA-ON,train,1931-10-11,1931-11-29
1931-10-11,influenza,CA-ON,train,1931-10-18,1931-12-06
1931-10-18,influenza,CA-ON,train,1931-10-25,1931-12-13
1931-10-25,influenza,CA-ON,train,1931-11-01,1931-12-20
1931-11-01,influenza,CA-ON,train,1931-11-08,1931-12-27
1931-11-08,influenza,CA-ON,train,1931-11-15,1932-01-03
1931-11-15,influenza,CA-ON,train,1931-11-22,1932-01-10
1931-11-22,influenza,CA-ON,train,1931-11-29,1932-01-17
1931-11-29,influenza,CA-ON,train,1931-12-06,1932-01-24
1931-12-06,influenza,CA-ON,train,1931-12-13,1932-01-31
1931-12-13,influenza,CA-ON,train,1931-12-20,1932-02-07
1931-12-20,influenza,CA-ON,train,1931-12-27,1932-02-14
1931-12-27,influenza,CA-ON,train,1932-01-03,1932-02-21
1932-01-03,influenza,CA-ON,train,1932-01-10,1932-02-28
1932-01-10,influenza,CA-ON,train,1932-01-17,1932-03-06
1932-01-17,influenza,CA-ON,train,1932-01-24,1932-03-13
1932-01-24,influenza,CA-ON,train,1932-01-31,1932-03-20
1932-01-31,influenza,CA-ON,train,1932-02-07,1932-03-27
1932-02-07,influenza,CA-ON,train,1932-02-14,1932-04-03
1932-02-14,influenza,CA-ON,train,1932-02-21,1932-04-10
1932-02-21,influenza,CA-ON,train,1932-02-28,1932-04-17
1932-02-28,influenza,CA-ON,train,1932-03-06,1932-04-24
1932-03-06,influenza,CA-ON,train,1932-03-13,1932-05-01
1932-03-13,influenza,CA-ON,train,1932-03-20,1932-05-08
1932-03-20,influenza,CA-ON,train,1932-03-27,1932-05-15
1932-03-27,influenza,CA-ON,train,1932-04-03,1932-05-22
1932-04-03,influenza,CA-ON,train,1932-04-10,1932-05-29
1932-04-10,influenza,CA-ON,train,1932-04-17,1932-06-05
1932-04-17,influenza,CA-ON,train,1932-04-24,1932-06-12
1932-04-24,influenza,CA-ON,train,1932-05-01,1932-06-19
1932-05-01,influenza,CA-ON,train,1932-05-08,1932-06-26
1932-05-08,influenza,CA-ON,train,1932-05-15,1932-07-03
1932-05-15,influenza,CA-ON,train,1932-05-22,1932-07-10
1932-05-22,influenza,CA-ON,train,1932-05-29,1932-07-17
1932-05-29,influenza,CA-ON,train,1932-06-05,1932-07-24
1932-06-05,influenza,CA-ON,train,1932-06-12,1932-07-31
1932-06-12,influenza,CA-ON,train,1932-06-19,1932-08-07
1932-06-19,influenza,CA-ON,train,1932-06-26,1932-08-14
1932-06-26,influenza,CA-ON,train,1932-07-03,1932-08-21
1932-07-03,influenza,CA-ON,train,1932-07-10,1932-08-28
1932-07-10,influenza,CA-ON,train,1932-07-17,1932-09-04
1932-07-17,influenza,CA-ON,train,1932-07-24,1932-09-11
1932-07-24,influenza,CA-ON,train,1932-07-31,1932-09-18
1932-07-31,influenza,CA-ON,train,1932-08-07,1932-09-25
1932-08-07,influenza,CA-ON,train,1932-08-14,1932-10-02
1932-08-14,influenza,CA-ON,train,1932-08-21,1932-10-09
1932-08-21,influenza,CA-ON,train,1932-08-28,1932-10-16
1932-08-28,influenza,CA-ON,train,1932-09-04,1932-10-23
1932-09-04,influenza,CA-ON,train,1932-09-11,1932-10-30
1932-09-11,influenza,CA-ON,train,1932-09-18,1932-11-06
1932-09-18,influenza,CA-ON,train,1932-09-25,1932-11-13
1932-09-25,influenza,CA-ON,train,1932-10-02,1932-11-20
1932-10-02,influenza,CA-ON,train,1932-10-09,1932-11-27
1932-10-09,influenza,CA-ON,train,1932-10-16,1932-12-04
1932-10-16,influenza,CA-ON,train,1932-10-23,1932-12-11
1932-10-23,influenza,CA-ON,train,1932-10-30,1932-12-18
1932-10-30,influenza,CA-ON,train,1932-11-06,1932-12-25
1932-11-06,influenza,CA-ON,train,1932-11-13,1933-01-01
1932-11-13,influenza,CA-ON,train,1932-11-20,1933-01-08
1932-11-20,influenza,CA-ON,train,1932-11-27,1933-01-15
1932-11-27,influenza,CA-ON,train,1932-12-04,1933-01-22
1932-12-04,influenza,CA-ON,train,1932-12-11,1933-01-29
1932-12-11,influenza,CA-ON,train,1932-12-18,1933-02-05
1932-12-18,influenza,CA-ON,train,1932-12-25,1933-02-12
1932-12-25,influenza,CA-ON,train,1933-01-01,1933-02-19
1933-01-01,influenza,CA-ON,train,1933-01-08,1933-02-26
1933-01-08,influenza,CA-ON,train,1933-01-15,1933-03-05
1933-01-15,influenza,CA-ON,train,1933-01-22,1933-03-12
